Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	    41123	     	    50615	     	     7362
        0	     	        0	     	    41187	     	    51122	     	     7512
        0	     	        0	     	    41491	     	    51128	     	     7389
        0	     	        0	     	    41432	     	    51039	     	     7456
        0	     	        0	     	    41471	     	    50957	     	     7555
        0	     	        0	     	    41118	     	    51167	     	     7520
        0	     	        0	     	    41652	     	    51366	     	     7400
        0	     	        0	     	    41804	     	    51083	     	     7614
        0	     	        0	     	    41847	     	    50669	     	     7389
        0	     	        0	     	    41360	     	    51223	     	     7521
        0	     	        0	     	    41345	     	    51211	     	     7591
        0	     	        0	     	    41308	     	    51045	     	     7443
        0	     	        0	     	    41645	     	    50779	     	     7590
        0	     	        0	     	    41510	     	    51392	     	     7448
        0	     	        0	     	    41380	     	    50546	     	     7553
        0	     	        0	     	    41457	     	    51228	     	     7623
        0	     	        0	     	    41476	     	    51189	     	     7531
        0	     	        0	     	    41549	     	    51050	     	     7412
        0	     	        0	     	    41296	     	    50815	     	     7489
        0	     	        0	     	    41038	     	    51011	     	     7351
        0	     	        0	     	    41310	     	    50756	     	     7426
        0	     	        0	     	    41147	     	    51146	     	     7544
        0	     	        0	     	    41336	     	    51062	     	     7389
        0	     	        0	     	    41513	     	    50889	     	     7435
        0	     	        0	     	    41482	     	    50709	     	     7475
        0	     	        0	     	    41288	     	    50900	     	     7392
        0	     	        0	     	    42072	     	    51820	     	     7723
        0	     	        0	     	    41307	     	    51174	     	     7539
        0	     	        0	     	    41665	     	    50500	     	     7480
        0	     	        0	     	    41328	     	    50999	     	     7471
        0	     	        0	     	    41094	     	    50489	     	     7286
        0	     	        0	     	    41065	     	    50505	     	     7517
        0	     	        0	     	    41623	     	    50764	     	     7501
        0	     	        0	     	    41422	     	    50684	     	     7530
        0	     	        0	     	    41490	     	    50880	     	     7438
        0	     	        0	     	    41327	     	    51204	     	     7555
        0	     	        0	     	    41424	     	    51086	     	     7619
        0	     	        0	     	    41354	     	    50952	     	     7453
        0	     	        0	     	    41815	     	    51036	     	     7516
        0	     	        0	     	    41198	     	    50854	     	     7637
        0	     	        0	     	    41454	     	    51023	     	     7429
        0	     	        0	     	    41716	     	    51203	     	     7596
        0	     	        0	     	    41566	     	    50787	     	     7446
        0	     	        0	     	    41337	     	    50833	     	     7348
        0	     	        0	     	    41260	     	    51001	     	     7518
        0	     	        0	     	    41734	     	    50683	     	     7466
        0	     	        0	     	    41487	     	    50502	     	     7432
        0	     	        0	     	    40830	     	    50804	     	     7313
        0	     	        0	     	    41519	     	    50951	     	     7432
        0	     	        0	     	    41022	     	    50891	     	     7401
        0	     	        0	     	    60474	     	    62941	     	    40056
        0	     	        0	     	    31993	     	    50720	     	    31648
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
